well_name,unique_id,DNA_name,rxn_id,DNA_conc,K,Mg,PEG,SecYE,Spermidine,Liposome_conc,Liposome_name,day,plate,col,row
F9,1315,CRCM,112,5.0,185,8,0,0.0,4.0,3,DMPC--0%PE--0%Chol,2,4,8,5
C7,1316,CRCM,113,5.0,185,8,0,0.0,8.0,3,DOPC--0%PE--0%Chol,2,4,6,2
L12,1317,CRCM,230,2.5,85,8,0,0.0,4.0,3,DOPC--0%PE--0%Chol,2,4,11,11
F18,1318,CRCM,231,2.5,85,17,0,0.0,8.0,3,DOPC--0%PE--0%Chol,2,4,17,5
G11,1319,CRCM,232,2.5,185,8,0,0.0,8.0,3,DOPC--0%PE--0%Chol,2,4,10,6
M9,1320,CRCM,233,2.5,185,14,0,0.625,4.0,3,DMPC--0%PE--0%Chol,2,4,8,12
I15,1321,CRCM,234,2.5,185,17,0,1.25,8.0,3,DMPC--0%PE--0%Chol,2,4,14,8
E4,1322,CRCM,364,2.5,85,14,0,0.625,0.1,3,DOPC--0%PE--8%Chol,2,4,3,4
G12,1323,CRCM,365,2.5,85,14,0,1.25,0.1,3,DMPC--0%PE--8%Chol,2,4,11,6
G21,1324,CRCM,366,2.5,135,20,0,1.25,0.1,3,DOPC--0%PE--8%Chol,2,4,20,6
E8,1325,CRCM,367,2.5,185,14,0,0.625,0.1,3,DMPC--0%PE--8%Chol,2,4,7,4
G6,1326,CRCM,368,2.5,235,14,0,0.625,0.1,3,DOPC--0%PE--8%Chol,2,4,5,6
O14,1327,CRCM,369,2.5,235,20,0,1.25,0.1,3,DMPC--0%PE--8%Chol,2,4,13,14
J21,1328,CRCM,109,5.0,85,8,0,0.0,4.0,3,DOPC--0%PE--0%Chol,2,4,20,9
O12,1329,CRCM,110,5.0,85,8,0,0.0,8.0,3,DMPC--0%PE--0%Chol,2,4,11,14
I16,1330,CRCM,111,5.0,85,17,0,0.0,8.0,3,DOPC--0%PE--0%Chol,2,4,15,8
E24,1331,CRCM,112,5.0,185,8,0,0.0,4.0,3,DMPC--0%PE--0%Chol,2,4,23,4
H16,1332,CRCM,113,5.0,185,8,0,0.0,8.0,3,DOPC--0%PE--0%Chol,2,4,15,7
D17,1333,CRCM,230,2.5,85,8,0,0.0,4.0,3,DOPC--0%PE--0%Chol,2,4,16,3
L17,1334,CRCM,231,2.5,85,17,0,0.0,8.0,3,DOPC--0%PE--0%Chol,2,4,16,11
J10,1335,CRCM,232,2.5,185,8,0,0.0,8.0,3,DOPC--0%PE--0%Chol,2,4,9,9
G1,1336,CRCM,233,2.5,185,14,0,0.625,4.0,3,DMPC--0%PE--0%Chol,2,4,0,6
H11,1337,CRCM,234,2.5,185,17,0,1.25,8.0,3,DMPC--0%PE--0%Chol,2,4,10,7
P17,1338,CRCM,364,2.5,85,14,0,0.625,0.1,3,DOPC--0%PE--8%Chol,2,4,16,15
F13,1339,CRCM,365,2.5,85,14,0,1.25,0.1,3,DMPC--0%PE--8%Chol,2,4,12,5
H4,1340,CRCM,366,2.5,135,20,0,1.25,0.1,3,DOPC--0%PE--8%Chol,2,4,3,7
N3,1341,CRCM,367,2.5,185,14,0,0.625,0.1,3,DMPC--0%PE--8%Chol,2,4,2,13
A8,1342,CRCM,368,2.5,235,14,0,0.625,0.1,3,DOPC--0%PE--8%Chol,2,4,7,0
P1,1343,CRCM,369,2.5,235,20,0,1.25,0.1,3,DMPC--0%PE--8%Chol,2,4,0,15
B1,1344,CRCM,109,5.0,85,8,0,0.0,4.0,3,no_lipo,2,4,0,1
B7,1345,CRCM,110,5.0,85,8,0,0.0,8.0,3,no_lipo,2,4,6,1
B12,1346,CRCM,111,5.0,85,17,0,0.0,8.0,3,no_lipo,2,4,11,1
P4,1347,CRCM,112,5.0,185,8,0,0.0,4.0,3,no_lipo,2,4,3,15
E1,1348,CRCM,113,5.0,185,8,0,0.0,8.0,3,no_lipo,2,4,0,4
K19,1349,CRCM,230,2.5,85,8,0,0.0,4.0,3,no_lipo,2,4,18,10
G23,1350,CRCM,231,2.5,85,17,0,0.0,8.0,3,no_lipo,2,4,22,6
A5,1351,CRCM,232,2.5,185,8,0,0.0,8.0,3,no_lipo,2,4,4,0
E23,1352,CRCM,233,2.5,185,14,0,0.625,4.0,3,no_lipo,2,4,22,4
F12,1353,CRCM,234,2.5,185,17,0,1.25,8.0,3,no_lipo,2,4,11,5
I2,1354,CRCM,364,2.5,85,14,0,0.625,0.1,3,no_lipo,2,4,1,8
A3,1355,CRCM,365,2.5,85,14,0,1.25,0.1,3,no_lipo,2,4,2,0
E20,1356,CRCM,366,2.5,135,20,0,1.25,0.1,3,no_lipo,2,4,19,4
F16,1357,CRCM,367,2.5,185,14,0,0.625,0.1,3,no_lipo,2,4,15,5
L14,1358,CRCM,368,2.5,235,14,0,0.625,0.1,3,no_lipo,2,4,13,11
P18,1359,CRCM,369,2.5,235,20,0,1.25,0.1,3,no_lipo,2,4,17,15
E15,1360,CRCM,109,5.0,85,8,0,0.0,4.0,3,no_lipo,2,4,14,4
K3,1361,CRCM,110,5.0,85,8,0,0.0,8.0,3,no_lipo,2,4,2,10
L8,1362,CRCM,111,5.0,85,17,0,0.0,8.0,3,no_lipo,2,4,7,11
P8,1363,CRCM,112,5.0,185,8,0,0.0,4.0,3,no_lipo,2,4,7,15
B13,1364,CRCM,113,5.0,185,8,0,0.0,8.0,3,no_lipo,2,4,12,1
L19,1365,CRCM,230,2.5,85,8,0,0.0,4.0,3,no_lipo,2,4,18,11
B17,1366,CRCM,231,2.5,85,17,0,0.0,8.0,3,no_lipo,2,4,16,1
D15,1367,CRCM,232,2.5,185,8,0,0.0,8.0,3,no_lipo,2,4,14,3
B24,1368,CRCM,233,2.5,185,14,0,0.625,4.0,3,no_lipo,2,4,23,1
G7,1369,CRCM,234,2.5,185,17,0,1.25,8.0,3,no_lipo,2,4,6,6
G24,1370,CRCM,364,2.5,85,14,0,0.625,0.1,3,no_lipo,2,4,23,6
M22,1371,CRCM,365,2.5,85,14,0,1.25,0.1,3,no_lipo,2,4,21,12
D16,1372,CRCM,366,2.5,135,20,0,1.25,0.1,3,no_lipo,2,4,15,3
K18,1373,CRCM,367,2.5,185,14,0,0.625,0.1,3,no_lipo,2,4,17,10
G9,1374,CRCM,368,2.5,235,14,0,0.625,0.1,3,no_lipo,2,4,8,6
K13,1375,CRCM,369,2.5,235,20,0,1.25,0.1,3,no_lipo,2,4,12,10
J16,1376,CRCM,109,5.0,85,8,0,0.0,4.0,3,no_lipo,2,4,15,9
