well_name,unique_id,rxn_id,DNA_name,DNA_conc,Liposome_name,Liposome_conc,Mg,SecYE,K,PEG,Chol_conc,Spermidine,PE_conc,plate,col,row
H19,230,50,CD63,5.0,no_lipo,3,8,1.25,85,1,0,4,0,1,18,7
G11,231,51,CD63,5.0,no_lipo,3,14,1.25,85,2,0,4,0,1,10,6
E3,232,52,CD63,5.0,no_lipo,3,14,0.0,185,2,0,4,0,1,2,4
F20,233,53,CD63,5.0,no_lipo,3,14,0.0,185,1,0,4,0,1,19,5
B7,234,54,CD63,5.0,no_lipo,3,14,1.25,185,1,0,4,0,1,6,1
N3,235,55,CD63,5.0,no_lipo,3,20,0.0,185,0,0,4,0,1,2,13
L14,236,56,CD63,5.0,no_lipo,3,14,0.0,135,0,0,4,0,1,13,11
H22,237,57,CD63,5.0,no_lipo,3,14,0.0,85,0,0,4,0,1,21,7
L9,238,58,CD81,5.0,no_lipo,3,20,1.25,85,2,0,4,0,1,8,11
F4,239,59,CD81,5.0,no_lipo,3,8,1.25,85,1,0,4,0,1,3,5
G18,240,60,CD81,5.0,no_lipo,3,14,1.25,185,1,0,4,0,1,17,6
N2,241,61,CD81,5.0,no_lipo,3,20,1.25,185,0,0,4,0,1,1,13
C8,242,62,CD81,5.0,no_lipo,3,8,0.0,85,2,0,4,0,1,7,2
K19,243,63,CD81,5.0,no_lipo,3,8,1.25,85,0,0,4,0,1,18,10
M4,244,64,CD81,5.0,no_lipo,3,14,0.0,135,0,0,4,0,1,3,12
E12,245,65,CD81,5.0,no_lipo,3,8,1.25,185,0,0,4,0,1,11,4
K22,246,66,CD81,5.0,no_lipo,3,20,0.0,185,0,0,4,0,1,21,10
E10,247,67,CD9,5.0,no_lipo,3,20,1.25,185,1,0,4,0,1,9,4
I2,248,68,CD9,5.0,no_lipo,3,14,1.25,185,2,0,4,0,1,1,8
B12,249,69,CD9,5.0,no_lipo,3,20,0.0,85,1,0,4,0,1,11,1
P11,250,70,CD9,5.0,no_lipo,3,14,0.0,185,0,0,4,0,1,10,15
N9,251,71,CD9,5.0,no_lipo,3,20,1.25,85,2,0,4,0,1,8,13
E4,252,72,CD9,5.0,no_lipo,3,14,1.25,85,2,0,4,0,1,3,4
C23,253,73,CD9,5.0,no_lipo,3,14,0.0,185,1,0,4,0,1,22,2
G22,254,74,CD9,5.0,no_lipo,3,14,0.0,135,0,0,4,0,1,21,6
P8,255,75,CD9,5.0,no_lipo,3,14,0.0,135,1,0,4,0,1,7,15
O9,256,76,AqpZ,5.0,no_lipo,3,14,1.25,85,2,0,4,0,1,8,14
