well_name,DNA_name,DNA_conc,Ffh,FtsY,Liposome_name,Liposome_conc,SecYE,combo,Mg,K
H7,MtlA,5.0,0.3,0.3,no_lipo,0.0,0.0,with SecYE,15,85
H8,MtlA,5.0,0.0,0.0,DOPC,3.0,0.0,with SecYE,15,85
H9,Neu,5.0,0.0,0.0,no_lipo,0.0,0.5,with SecYE,15,85
I1,MtlA,5.0,0.0,0.0,no_lipo,0.0,0.5,with SecYE,15,85
I10,MtlA,5.0,0.3,0.0,DOPC,3.0,1.0,with SecYE,15,85
I11,Neu,5.0,0.3,0.3,no_lipo,0.0,1.0,with SecYE,15,85
I12,MtlA,5.0,0.6,0.6,DOPC,3.0,0.5,with SecYE,15,85
I13,Neu,5.0,0.0,0.6,DOPC,3.0,1.0,with SecYE,15,85
I14,MtlA,5.0,0.0,0.0,DOPC,3.0,0.5,with SecYE,15,85
I15,MtlA,5.0,0.6,0.6,no_lipo,0.0,1.0,with SecYE,15,85
I16,MtlA,5.0,0.6,0.6,DOPC,3.0,1.0,with SecYE,15,85
I17,MtlA,5.0,0.3,0.6,DOPC,3.0,0.0,with SecYE,15,85
I18,Neu,5.0,0.3,0.6,DOPC,3.0,0.5,with SecYE,15,85
I19,MtlA,5.0,0.0,0.3,no_lipo,0.0,0.0,with SecYE,15,85
I2,Neu,5.0,0.0,0.3,DOPC,3.0,1.0,with SecYE,15,85
I20,Neu,5.0,0.3,0.0,no_lipo,0.0,0.5,with SecYE,15,85
I21,Neu,5.0,0.6,0.3,no_lipo,0.0,0.5,with SecYE,15,85
I22,MtlA,5.0,0.0,0.6,DOPC,3.0,1.0,with SecYE,15,85
I23,MtlA,5.0,0.6,0.0,no_lipo,0.0,1.0,with SecYE,15,85
I24,Neu,5.0,0.3,0.6,DOPC,3.0,1.0,with SecYE,15,85
I3,Neu,5.0,0.0,0.0,no_lipo,0.0,1.0,with SecYE,15,85
I4,Neu,5.0,0.0,0.3,DOPC,3.0,1.0,with SecYE,15,85
I5,MtlA,5.0,0.6,0.3,no_lipo,0.0,0.5,with SecYE,15,85
I6,MtlA,5.0,0.3,0.0,DOPC,3.0,1.0,with SecYE,15,85
I7,Neu,5.0,0.0,0.3,DOPC,3.0,0.0,with SecYE,15,85
I8,Neu,5.0,0.3,0.6,DOPC,3.0,0.5,with SecYE,15,85
