well_name,unique_id,rxn_id,K,Liposome_name,Mg,PEG,SecYE,Liposome_conc,DNA_name,DNA_conc,plate,row,col
A4,452.0,212,185.0,DMPC,14.0,0.0,0.0,3,Blank,5,2,0,3
F6,456.0,216,85.0,no_lipo,8.0,0.0,0.0,3,Blank,5,2,5,5
N10,460.0,220,85.0,no_lipo,20.0,1.0,0.0,3,Blank,5,2,13,9
K21,461.0,221,85.0,no_lipo,20.0,2.0,1.25,3,Blank,5,2,10,20
A7,463.0,223,85.0,no_lipo,8.0,2.0,0.0,3,Blank,5,2,0,6
J1,464.0,224,85.0,no_lipo,14.0,1.0,0.0,3,Blank,5,2,9,0
P7,466.0,226,85.0,no_lipo,20.0,0.0,0.0,3,Blank,5,2,15,6
K23,475.0,235,185.0,no_lipo,8.0,2.0,1.25,3,Blank,5,2,10,22
F11,478.0,238,185.0,no_lipo,20.0,0.0,1.25,3,Blank,5,2,5,10
K24,485.0,5,85.0,DOPC,20.0,2.0,1.25,3,FITM2,5,2,10,23
N1,487.0,7,85.0,DMPC,8.0,2.0,0.0,3,FITM2,5,2,13,0
E20,491.0,11,85.0,DMPC,20.0,1.0,1.25,3,FITM2,5,2,4,19
A16,492.0,12,185.0,DOPC,8.0,0.0,1.25,3,FITM2,5,2,0,15
I24,494.0,14,185.0,DOPC,14.0,1.0,0.0,3,FITM2,5,2,8,23
M17,497.0,17,185.0,DOPC,20.0,1.0,1.25,3,FITM2,5,2,12,16
G6,502.0,22,185.0,DMPC,20.0,0.0,1.25,3,FITM2,5,2,6,5
E10,503.0,23,185.0,DMPC,20.0,2.0,0.0,3,FITM2,5,2,4,9
M6,506.0,26,85.0,no_lipo,14.0,0.0,1.25,3,FITM2,5,2,12,5
H21,508.0,28,85.0,no_lipo,20.0,1.0,0.0,3,FITM2,5,2,7,20
M11,509.0,29,85.0,no_lipo,20.0,2.0,1.25,3,FITM2,5,2,12,10
O8,510.0,30,85.0,no_lipo,8.0,0.0,1.25,3,FITM2,5,2,14,7
D9,511.0,31,85.0,no_lipo,8.0,2.0,0.0,3,FITM2,5,2,3,8
F10,512.0,32,85.0,no_lipo,14.0,1.0,0.0,3,FITM2,5,2,5,9
F12,517.0,37,185.0,no_lipo,8.0,2.0,0.0,3,FITM2,5,2,5,11
O23,521.0,41,185.0,no_lipo,20.0,1.0,1.25,3,FITM2,5,2,14,22
D10,531.0,51,85.0,DOPC,14.0,2.0,0.0,3,PPTI,5,2,3,9
O13,532.0,52,85.0,DOPC,20.0,1.0,0.0,3,PPTI,5,2,14,12
F2,534.0,54,85.0,DMPC,8.0,0.0,1.25,3,PPTI,5,2,5,1
D24,539.0,59,85.0,DMPC,20.0,1.0,1.25,3,PPTI,5,2,3,23
I11,544.0,64,185.0,DOPC,20.0,0.0,0.0,3,PPTI,5,2,8,10
K8,545.0,65,185.0,DOPC,20.0,1.0,1.25,3,PPTI,5,2,10,7
C23,546.0,66,185.0,DMPC,8.0,1.0,0.0,3,PPTI,5,2,2,22
H2,548.0,68,185.0,DMPC,14.0,0.0,0.0,3,PPTI,5,2,7,1
A19,549.0,69,185.0,DMPC,14.0,1.0,1.25,3,PPTI,5,2,0,18
P8,551.0,71,185.0,DMPC,20.0,2.0,0.0,3,PPTI,5,2,15,7
F24,555.0,75,85.0,no_lipo,14.0,2.0,0.0,3,PPTI,5,2,5,23
K1,556.0,76,85.0,no_lipo,20.0,1.0,0.0,3,PPTI,5,2,10,0
O4,557.0,77,85.0,no_lipo,20.0,2.0,1.25,3,PPTI,5,2,14,3
E13,560.0,80,85.0,no_lipo,14.0,1.0,0.0,3,PPTI,5,2,4,12
I1,561.0,81,85.0,no_lipo,14.0,2.0,1.25,3,PPTI,5,2,8,0
F7,562.0,82,85.0,no_lipo,20.0,0.0,0.0,3,PPTI,5,2,5,6
J9,563.0,83,85.0,no_lipo,20.0,1.0,1.25,3,PPTI,5,2,9,8
I19,566.0,86,185.0,no_lipo,14.0,1.0,0.0,3,PPTI,5,2,8,18
D4,570.0,90,185.0,no_lipo,8.0,1.0,0.0,3,PPTI,5,2,3,3
O6,572.0,92,185.0,no_lipo,14.0,0.0,0.0,3,PPTI,5,2,14,5
M14,575.0,95,185.0,no_lipo,20.0,2.0,0.0,3,PPTI,5,2,12,13
G10,582.0,102,85.0,DMPC,8.0,0.0,1.25,3,AuxTI,5,2,6,9
J4,583.0,103,85.0,DMPC,8.0,2.0,0.0,3,AuxTI,5,2,9,3
F8,590.0,110,185.0,DOPC,14.0,1.0,0.0,3,AuxTI,5,2,5,7
B12,591.0,111,185.0,DOPC,14.0,2.0,1.25,3,AuxTI,5,2,1,11
I14,596.0,116,185.0,DMPC,14.0,0.0,0.0,3,AuxTI,5,2,8,13
L18,599.0,119,185.0,DMPC,20.0,2.0,0.0,3,AuxTI,5,2,11,17
K15,601.0,121,85.0,no_lipo,8.0,1.0,1.25,3,AuxTI,5,2,10,14
A11,602.0,122,85.0,no_lipo,14.0,0.0,1.25,3,AuxTI,5,2,0,10
H23,608.0,128,85.0,no_lipo,14.0,1.0,0.0,3,AuxTI,5,2,7,22
N11,609.0,129,85.0,no_lipo,14.0,2.0,1.25,3,AuxTI,5,2,13,10
J15,612.0,132,185.0,no_lipo,8.0,0.0,1.25,3,AuxTI,5,2,9,14
O20,613.0,133,185.0,no_lipo,8.0,2.0,0.0,3,AuxTI,5,2,14,19
C6,619.0,139,185.0,no_lipo,8.0,2.0,1.25,3,AuxTI,5,2,2,5
C12,621.0,141,185.0,no_lipo,14.0,1.0,1.25,3,AuxTI,5,2,2,11
F16,623.0,143,185.0,no_lipo,20.0,2.0,0.0,3,AuxTI,5,2,5,15
H1,625.0,145,85.0,DOPC,8.0,1.0,1.25,3,Beta,5,2,7,0
M5,627.0,147,85.0,DOPC,14.0,2.0,0.0,3,Beta,5,2,12,4
M20,628.0,148,85.0,DOPC,20.0,1.0,0.0,3,Beta,5,2,12,19
G23,631.0,151,85.0,DMPC,8.0,2.0,0.0,3,Beta,5,2,6,22
D8,632.0,152,85.0,DMPC,14.0,1.0,0.0,3,Beta,5,2,3,7
