well_name,plate,DNA_name,DNA_conc,K,Liposome_name,Liposome_conc,Mg,SecYE,WCE,Supp
B23,3,Glut,5.0,135.0,DMPC,3.0,16.0,0.0,BL62,S22
B3,3,Glut,5.0,135.0,DMPC,3.0,12.0,1.25,BL62,S22
B4,3,AqpZ,5.0,85.0,DMPC,3.0,8.0,1.25,BL62,S22
B5,3,Glut,5.0,135.0,DOPC,3.0,12.0,1.25,BL62,S22
B6,3,AqpZ,5.0,135.0,DMPC,3.0,12.0,0.0,BL62,S22
B7,3,Mol,5.0,135.0,no_lipo,0.0,12.0,1.25,BL62,S22
B8,3,Neu,5.0,135.0,no_lipo,0.0,8.0,1.25,BL62,S22
B9,3,Mol,5.0,85.0,DMPC,3.0,20.0,1.25,BL62,S22
C1,3,Neu,5.0,135.0,DMPC,3.0,20.0,0.0,BL62,S22
C10,3,Glut,5.0,135.0,DMPC,3.0,16.0,0.0,BL62,S22
C11,3,AqpZ,5.0,135.0,no_lipo,0.0,16.0,0.0,BL62,S22
C12,3,Glut,5.0,85.0,no_lipo,0.0,16.0,0.0,BL62,S22
C13,3,Vol,5.0,85.0,DMPC,3.0,12.0,0.0,BL62,S22
C14,3,AqpZ,5.0,85.0,DMPC,3.0,16.0,0.0,BL62,S22
C15,3,Vol,5.0,135.0,no_lipo,0.0,8.0,0.0,BL62,S22
C16,3,Glut,5.0,85.0,no_lipo,0.0,12.0,1.25,BL62,S22
C17,3,Mol,5.0,135.0,DOPC,3.0,8.0,0.0,BL62,S22
C18,3,Glut,5.0,135.0,DMPC,3.0,16.0,1.25,BL62,S22
C19,3,Mol,5.0,135.0,DMPC,3.0,16.0,0.0,BL62,S22
C2,3,Glut,5.0,85.0,no_lipo,0.0,8.0,0.0,BL62,S22
C20,3,Mol,5.0,135.0,no_lipo,0.0,16.0,0.0,BL62,S22
C21,3,Mol,5.0,85.0,DMPC,3.0,8.0,1.25,BL62,S22
C22,3,AqpZ,5.0,85.0,no_lipo,0.0,12.0,0.0,BL62,S22
C23,3,Glut,5.0,85.0,DOPC,3.0,20.0,1.25,BL62,S22
C3,3,Vol,5.0,135.0,DMPC,3.0,8.0,1.25,BL62,S22
C4,3,AqpZ,5.0,85.0,DMPC,3.0,16.0,0.0,BL62,S22
C5,3,Mol,5.0,135.0,DMPC,3.0,8.0,0.0,BL62,S22
C6,3,Vol,5.0,135.0,DMPC,3.0,16.0,1.25,BL62,S22
C7,3,Vol,5.0,85.0,DOPC,3.0,20.0,0.0,BL62,S22
C8,3,Mol,5.0,135.0,no_lipo,0.0,20.0,1.25,BL62,S22
