well_name,unique_id,rxn_id,K,Liposome_name,Mg,PEG,Liposome_conc,DNA_name,DNA_conc,plate,row,col
C14,258,42,185.0,no_lipo,8.0,1.0,3,CD151,5,1,2,13
P3,259,43,185.0,no_lipo,14.0,2.0,3,CD151,5,1,15,2
H16,260,44,185.0,no_lipo,20.0,0.0,3,CD151,5,1,7,15
J11,261,45,185.0,no_lipo,8.0,2.0,3,CD151,5,1,9,10
M17,262,46,185.0,no_lipo,14.0,0.0,3,CD151,5,1,12,16
B17,263,47,185.0,no_lipo,20.0,1.0,3,CD151,5,1,1,16
E6,264,48,85.0,DOPC,8.0,0.0,3,Blank,5,1,4,5
P2,265,49,85.0,DOPC,14.0,1.0,3,Blank,5,1,15,1
D5,266,50,85.0,DOPC,20.0,2.0,3,Blank,5,1,3,4
F2,267,51,85.0,DMPC,8.0,1.0,3,Blank,5,1,5,1
N8,268,52,85.0,DMPC,14.0,2.0,3,Blank,5,1,13,7
D7,269,53,85.0,DMPC,20.0,0.0,3,Blank,5,1,3,6
D18,270,54,185.0,DOPC,8.0,1.0,3,Blank,5,1,3,17
A2,271,55,185.0,DOPC,14.0,2.0,3,Blank,5,1,0,1
H15,272,56,185.0,DOPC,20.0,0.0,3,Blank,5,1,7,14
G10,273,57,185.0,DMPC,8.0,2.0,3,Blank,5,1,6,9
J18,274,58,185.0,DMPC,14.0,0.0,3,Blank,5,1,9,17
I18,275,59,185.0,DMPC,20.0,1.0,3,Blank,5,1,8,17
C8,276,60,85.0,no_lipo,8.0,0.0,3,Blank,5,1,2,7
E13,277,61,85.0,no_lipo,14.0,1.0,3,Blank,5,1,4,12
H8,278,62,85.0,no_lipo,20.0,2.0,3,Blank,5,1,7,7
P14,279,63,85.0,no_lipo,8.0,1.0,3,Blank,5,1,15,13
K11,280,64,85.0,no_lipo,14.0,2.0,3,Blank,5,1,10,10
L11,281,65,85.0,no_lipo,20.0,0.0,3,Blank,5,1,11,10
K3,282,66,185.0,no_lipo,8.0,1.0,3,Blank,5,1,10,2
C12,283,67,185.0,no_lipo,14.0,2.0,3,Blank,5,1,2,11
J14,284,68,185.0,no_lipo,20.0,0.0,3,Blank,5,1,9,13
J9,285,69,185.0,no_lipo,8.0,2.0,3,Blank,5,1,9,8
M4,286,70,185.0,no_lipo,14.0,0.0,3,Blank,5,1,12,3
I17,287,71,185.0,no_lipo,20.0,1.0,3,Blank,5,1,8,16
